lambda1,lambda2,lambda3,lambda4,lambda5,m12_squared,beta,tan_beta,positivity_ok,unitarity_ok,perturbativity_ok,width_h2_bb,width_h2_tautau,width_h2_WW,width_h2_ZZ,width_hgaga,total_width_h2,branching_ratio_hgaga
0.000000,0.000000,9.734518,9.734518,9.734518,0.080000,0.060000,0.060072,true,false,false,0.000000,0.000000,4.311627,1.945206,0.000088,-nan,0.000000
0.000000,0.000000,9.734518,9.734518,9.734518,0.080000,0.080000,0.080171,true,false,false,0.000000,0.000000,7.497013,3.463815,0.000098,-nan,0.000000
0.000000,0.000000,9.734518,9.734518,9.734518,0.080000,0.100000,0.100335,true,false,false,0.000000,0.000000,11.396923,5.344206,0.000108,-nan,0.000000
0.000000,0.000000,9.734518,9.734518,9.734518,0.100000,0.020000,0.020003,true,false,false,0.000000,0.000000,0.380004,0.092397,0.000048,-nan,0.000000
0.000000,0.000000,9.734518,9.734518,9.734518,0.100000,0.040000,0.040021,true,false,false,0.000000,0.000000,1.903655,0.820935,0.000073,-nan,0.000000
0.000000,0.000000,9.734518,9.734518,9.734518,0.100000,0.060000,0.060072,true,false,false,0.000000,0.000000,4.311632,1.945208,0.000088,-nan,0.000000
0.000000,0.000000,9.734518,9.734518,9.734518,0.100000,0.080000,0.080171,true,false,false,0.000000,0.000000,7.497017,3.463817,0.000098,-nan,0.000000
0.000000,0.000000,9.734518,9.734518,9.734518,0.100000,0.100000,0.100335,true,false,false,0.000000,0.000000,11.396926,5.344208,0.000108,-nan,0.000000
0.000000,0.000000,9.734518,29.734518,-30.265482,0.000000,0.020000,0.020003,true,false,false,0.000000,0.000000,0.000036,0.000003,0.000000,-nan,0.000000
0.000000,0.000000,9.734518,29.734518,-30.265482,0.000000,0.040000,0.040021,true,false,false,0.000000,0.000000,0.005723,0.000706,0.000001,-nan,0.000000
0.000000,0.000000,9.734518,29.734518,-30.265482,0.000000,0.060000,0.060072,true,false,false,0.000000,0.000000,0.344213,0.041467,0.000010,-nan,0.000000
0.000000,0.000000,9.734518,29.734518,-30.265482,0.000000,0.080000,0.080171,true,false,false,0.000000,0.000000,0.752138,0.287518,0.000023,-nan,0.000000
0.000000,0.000000,9.734518,29.734518,-30.265482,0.000000,0.100000,0.100335,true,false,false,0.000000,0.000000,1.272068,0.526495,0.000061,-nan,0.000000
0.000000,0.000000,9.734518,29.734518,-30.265482,0.020000,0.020000,0.020003,true,false,false,0.000000,0.000000,0.000036,0.000003,0.000000,-nan,0.000000
0.000000,0.000000,9.734518,29.734518,-30.265482,0.020000,0.040000,0.040021,true,false,false,0.000000,0.000000,0.005723,0.000706,0.000001,-nan,0.000000
0.000000,0.000000,9.734518,29.734518,-30.265482,0.020000,0.060000,0.060072,true,false,false,0.000000,0.000000,0.344216,0.041471,0.000010,-nan,0.000000
0.000000,0.000000,9.734518,29.734518,-30.265482,0.020000,0.080000,0.080171,true,false,false,0.000000,0.000000,0.752140,0.287519,0.000023,-nan,0.000000
0.000000,0.000000,9.734518,29.734518,-30.265482,0.020000,0.100000,0.100335,true,false,false,0.000000,0.000000,1.272070,0.526496,0.000060,-nan,0.000000
0.000000,0.000000,9.734518,29.734518,-30.265482,0.040000,0.020000,0.020003,true,false,false,0.000000,0.000000,0.000036,0.000003,0.000000,-nan,0.000000
0.000000,0.000000,9.734518,29.734518,-30.265482,0.040000,0.040000,0.040021,true,false,false,0.000000,0.000000,0.005724,0.000706,0.000001,-nan,0.000000
0.000000,0.000000,9.734518,29.734518,-30.265482,0.040000,0.060000,0.060072,true,false,false,0.000000,0.000000,0.344219,0.041475,0.000010,-nan,0.000000
0.000000,0.000000,9.734518,29.734518,-30.265482,0.040000,0.080000,0.080171,true,false,false,0.000000,0.000000,0.752142,0.287521,0.000023,-nan,0.000000
0.000000,0.000000,9.734518,29.734518,-30.265482,0.040000,0.100000,0.100335,true,false,false,0.000000,0.000000,1.272073,0.526497,0.000060,-nan,0.000000
0.000000,0.000000,9.734518,29.734518,-30.265482,0.060000,0.020000,0.020003,true,false,false,0.000000,0.000000,0.000036,0.000003,0.000000,-nan,0.000000
0.000000,0.000000,9.734518,29.734518,-30.265482,0.060000,0.040000,0.040021,true,false,false,0.000000,0.000000,0.005724,0.000706,0.000001,-nan,0.000000
0.000000,0.000000,9.734518,29.734518,-30.265482,0.060000,0.060000,0.060072,true,false,false,0.000000,0.000000,0.344222,0.041479,0.000010,-nan,0.000000
0.000000,0.000000,9.734518,29.734518,-30.265482,0.060000,0.080000,0.080171,true,false,false,0.000000,0.000000,0.752145,0.287522,0.000023,-nan,0.000000
0.000000,0.000000,9.734518,29.734518,-30.265482,0.060000,0.100000,0.100335,true,false,false,0.000000,0.000000,1.272075,0.526498,0.000060,-nan,0.000000
0.000000,0.000000,9.734518,29.734518,-30.265482,0.080000,0.020000,0.020003,true,false,false,0.000000,0.000000,0.000036,0.000003,0.000000,-nan,0.000000
0.000000,0.000000,9.734518,29.734518,-30.265482,0.080000,0.040000,0.040021,true,false,false,0.000000,0.000000,0.005725,0.000706,0.000001,-nan,0.000000
0.000000,0.000000,9.734518,29.734518,-30.265482,0.080000,0.060000,0.060072,true,false,false,0.000000,0.000000,0.344226,0.041483,0.000010,-nan,0.000000
0.000000,0.000000,9.734518,29.734518,-30.265482,0.080000,0.080000,0.080171,true,false,false,0.000000,0.000000,0.752147,0.287523,0.000023,-nan,0.000000
0.000000,0.000000,9.734518,29.734518,-30.265482,0.080000,0.100000,0.100335,true,false,false,0.000000,0.000000,1.272077,0.526499,0.000060,-nan,0.000000
0.000000,0.000000,9.734518,29.734518,-30.265482,0.100000,0.020000,0.020003,true,false,false,0.000000,0.000000,0.000036,0.000003,0.000000,-nan,0.000000
0.000000,0.000000,9.734518,29.734518,-30.265482,0.100000,0.040000,0.040021,true,false,false,0.000000,0.000000,0.005725,0.000706,0.000001,-nan,0.000000
0.000000,0.000000,9.734518,29.734518,-30.265482,0.100000,0.060000,0.060072,true,false,false,0.000000,0.000000,0.344229,0.041487,0.000010,-nan,0.000000
0.000000,0.000000,9.734518,29.734518,-30.265482,0.100000,0.080000,0.080171,true,false,false,0.000000,0.000000,0.752149,0.287525,0.000023,-nan,0.000000
0.000000,0.000000,9.734518,29.734518,-30.265482,0.100000,0.100000,0.100335,true,false,false,0.000000,0.000000,1.272079,0.526501,0.000060,-nan,0.000000
0.000000,0.000000,9.734518,29.734518,-10.265482,0.000000,0.020000,0.020003,true,false,false,0.000000,0.000000,0.379957,0.092347,0.000048,-nan,0.000000
0.000000,0.000000,9.734518,29.734518,-10.265482,0.000000,0.040000,0.040021,true,false,false,0.000000,0.000000,1.903623,0.820920,0.000073,-nan,0.000000
0.000000,0.000000,9.734518,29.734518,-10.265482,0.000000,0.060000,0.060072,true,false,false,0.000000,0.000000,4.311607,1.945196,0.000088,-nan,0.000000
0.000000,0.000000,9.734518,29.734518,-10.265482,0.000000,0.080000,0.080171,true,false,false,0.000000,0.000000,7.496995,3.463806,0.000098,-nan,0.000000
0.000000,0.000000,9.734518,29.734518,-10.265482,0.000000,0.100000,0.100335,true,false,false,0.000000,0.000000,11.396907,5.344198,0.000108,-nan,0.000000
0.000000,0.000000,9.734518,29.734518,-10.265482,0.020000,0.020000,0.020003,true,false,false,0.000000,0.000000,0.379967,0.092357,0.000048,-nan,0.000000
0.000000,0.000000,9.734518,29.734518,-10.265482,0.020000,0.040000,0.040021,true,false,false,0.000000,0.000000,1.903629,0.820923,0.000073,-nan,0.000000
0.000000,0.000000,9.734518,29.734518,-10.265482,0.020000,0.060000,0.060072,true,false,false,0.000000,0.000000,4.311612,1.945198,0.000088,-nan,0.000000
0.000000,0.000000,9.734518,29.734518,-10.265482,0.020000,0.080000,0.080171,true,false,false,0.000000,0.000000,7.497000,3.463808,0.000098,-nan,0.000000
